rating,reviews,address,price,bathrooms,beds,guests,toiles,bedrooms,studios,has_rating
4.71,64,"Kartepe, Kocaeli, Turkey",8078,1,2,2,0,2,0,1
4.857475195517684,0,"Kaş, Antalya, Turkey",4665,2,2,4,0,2,0,0
4.85,68,"Imereti, Georgia",5991,1,1,4,0,1,0,1
5.0,13,"Sapanca, Sakarya, Turkey",11339,1,1,4,0,1,0,1
4.857475195517684,0,"Sapanca, Sakarya, Turkey",6673,1,1,2,0,1,0,0
4.857475195517684,0,"Sapanca, Sakarya, Turkey",14729,1,1,2,0,1,0,0
4.857475195517684,0,"Kaş, Antalya, Turkey",12312,1,1,2,0,1,0,0
4.857475195517684,0,"Akçalı, Giresun, Turkey",13655,1,1,8,0,1,0,0
4.857475195517684,0,"Thành phố Đà Lạt, Lâm Đồng, Vietnam",1747,1,1,2,0,1,0,0
4.67,3,"Tambon Bang Kachai, Chang Wat Chanthaburi, Thailand",30486,3,4,10,0,4,0,1
4.97,77,"Sanoe-myeon, Boeun-gun, North Chungcheong Province, South Korea",9052,1,1,4,0,1,0,1
4.89,55,"Dharmshala, Himachal Pradesh, India",5705,1,1,2,0,1,0,1
4.83,116,"Amadeo, Calabarzon, Philippines",14612,2,2,8,0,2,0,1
4.87,23,"Tanay, Calabarzon, Philippines",8929,1,1,15,0,1,0,1
4.71,21,"Geyve, Sakarya, Turkey",3763,5,1,4,0,1,0,1
5.0,8,"Muratpaşa, Antalya, Turkey",22758,1,2,6,0,2,0,1
4.9,52,"Sapanca, Sakarya, Turkey",11289,1,1,4,0,1,0,1
4.75,8,"İstanbul, Turkey",7526,1,1,2,0,1,0,1
4.76,17,"Dikkaya, Rize, Turkey",5018,0,2,2,0,2,0,1
4.84,61,"Tanay, Calabarzon, Philippines",2747,0,1,3,0,0,0,1
4.79,49,"Sioni, Mtskheta-Mtianeti, Georgia",6827,5,1,3,0,1,0,1
4.97,38,"Cabangan, Central Luzon, Philippines",5529,0,1,2,0,1,0,1
4.82,23,"Sapanca, Sakarya, Turkey",6924,1,2,6,0,2,0,1
5.0,4,"Manali, Himachal Pradesh, India",3709,5,1,2,0,1,0,1
4.93,15,"Bolu, Turkey",12845,1,2,6,0,2,0,1
4.96,26,"Sapanca, Sakarya, Turkey",8128,5,1,4,0,1,0,1
4.6,5,"Memnuniye, Sakarya, Turkey",15052,2,3,7,0,3,0,1
4.857475195517684,2,"Sapanca, Sakarya, Turkey",15604,1,1,4,0,1,0,0
5.0,4,"Sapanca, Sakarya, Turkey",7476,1,1,4,0,1,0,1
4.87,85,"Abra de Ilog, MIMAROPA, Philippines",1372,1,1,2,0,1,0,1
5.0,9,"Sapanca, Sakarya, Turkey",14771,1,1,4,0,1,0,1
4.9,20,"Tanay, Calabarzon, Philippines",8248,0,3,7,0,3,0,1
4.64,11,"Kaş, Antalya, Turkey",7319,1,1,2,0,1,0,1
5.0,7,"Avanos, Nevşehir, Turkey",4051,5,1,3,0,1,0,1
4.75,4,"Sapanca, Sakarya, Turkey",14551,1,1,4,0,1,0,1
5.0,8,"Seetla, Uttarakhand, India",7418,1,1,2,0,1,0,1
4.857475195517684,0,"Lonavla, Maharashtra, India",15975,5,3,7,0,3,0,0
4.857475195517684,1,"Sapanca, Sakarya, Turkey",14049,1,1,4,0,1,0,0
4.857475195517684,0,"Sapanca, Sakarya, Turkey",17611,1,2,5,0,2,0,0
4.68,241,"Onna-son, Kunigami-gun, Okinawa-ken, Japan",13010,1,3,9,0,3,0,1
4.83,41,"Coron, MIMAROPA, Philippines",4059,1,1,4,0,1,0,1
5.0,10,"Kartepe, Kocaeli, Turkey",6774,0,1,4,0,1,0,1
4.857475195517684,2,"Sapanca, Sakarya, Turkey",10035,1,1,3,0,1,0,0
4.68,25,"Bagac, Central Luzon, Philippines",8135,1,2,5,0,2,0,1
4.8,61,"Bommayapalayam  Near Auroville , Tamil Nadu, India",1712,2,1,2,0,1,0,1
4.68,154,"Baguio, Cordillera Administrative Region, Philippines",8767,3,3,10,0,3,0,1
4.857475195517684,0,"San Juan, Ilocos Region, Philippines",2352,0,1,2,1,1,0,0
4.857475195517684,1,"Memnuniye, Sakarya, Turkey",22436,1,1,2,0,1,0,0
4.82,44,"Borjomi, Samtskhe-Javakheti, Georgia",6372,1,1,4,0,1,0,1
4.857475195517684,1,"Sapanca, Sakarya, Turkey",19147,0,1,4,0,1,0,0
4.69,13,"Hemşin, Rize, Turkey",8028,1,6,3,0,0,0,1
4.857475195517684,0,"Onna, Kunigami District, Okinawa, Japan",12590,1,3,8,0,3,0,0
4.89,19,"Konyaaltı, Antalya, Turkey",2820,1,0,2,0,0,0,1
4.857475195517684,0,"Mansourieh, Mount Lebanon Governorate, Lebanon",6839,5,2,4,0,2,0,0
4.58,58,"Onna, Kunigami-gun, Okinawa, Japan",6528,1,3,8,0,3,0,1
4.87,137,"Xiulin Township, Taiwan",9028,1,1,4,0,1,0,1
5.0,3,"Arslanköy, Mersin, Turkey",4265,1,1,4,0,1,0,1
5.0,3,"Bhimtal, Uttarakhand, India",3652,5,1,2,0,1,0,1
4.857475195517684,1,"Gelemiş, Antalya, Turkey",12369,1,2,4,0,2,0,0
5.0,3,"Uzundere, Rize, Turkey",12751,1,1,5,0,1,0,1
5.0,7,"Kaş, Antalya, Turkey",10684,2,2,6,0,2,0,1
4.63,8,"San Felipe, Central Luzon, Philippines",2598,0,1,3,0,0,0,1
4.67,4,"Bijanbari, West Bengal, India",4000,3,3,4,0,3,0,1
4.857475195517684,0,"Kaş, Antalya, Turkey",10839,2,2,4,0,2,0,0
5.0,8,"Cavinti, Calabarzon, Philippines",6181,2,1,5,0,1,0,1
5.0,8,"Parule, Maharashtra, India",8559,1,2,2,0,0,0,1
5.0,4,"Infanta, Calabarzon, Philippines",4871,5,1,2,0,1,0,1
4.857475195517684,1,"Surami, Shida Kartli., Georgia",22758,5,2,4,0,2,0,0
